track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
4rXPkKTkE0oYd9OltdFG9K,Thnks fr th Mmrs,Fall Out Boy,emo,2,0.458,0.897,0.0674,0.005,0.0,0.103,0.602,-5.006,154.834
6LA7WgwRca4bYg7Ip50dqN,PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese;TOMORROW X TOGETHER;Alan Walker,indie-pop,50,0.602,0.642,0.211,0.0131,5.33e-06,0.0668,0.54,-5.404,175.978
06UlQEupfklesVD0OB2N87,the color of the sky - solo piano,Chad Lawson,new-age,51,0.171,0.0172,0.0458,0.989,0.902,0.0876,0.0686,-32.538,67.6
4X3QczFrwEtHYf1MOYyhaG,Andrea Maria,´Goule,study,27,0.642,0.239,0.162,0.907,0.955,0.109,0.336,-12.194,167.936
6lOWoTqVnAWXchddtTH31W,Leave a Light On,Tom Walker,indie-pop,71,0.586,0.624,0.113,0.0153,1.78e-06,0.133,0.267,-5.946,68.976
5u3vBJzLvgJRQXqUFzr2cW,Não dá pra Explicar,FBC;VHOOR;Mariana Cavanellas,brazil,46,0.869,0.725,0.0522,0.0357,2.6e-05,0.111,0.171,-8.428,129.981
6etAsc19pzAmugWALZjpDo,Vallut Bass,AKA AKA;Junge Junge,techno,52,0.776,0.608,0.0398,0.146,0.894,0.0815,0.347,-10.491,121.984
4PPJY2E8YwiDSaiug98qIp,Mistletoe,Justin Bieber,pop,0,0.623,0.668,0.0531,0.475,0.0,0.0862,0.823,-7.282,161.948
4pb5brx1YoihzV0iY1tgBq,Basta uma Palavra,Gerson Rufino,gospel,40,0.29,0.555,0.0342,0.23,0.0,0.118,0.504,-6.283,67.85
62aZgpepQgr9C5n2EY0qgG,Qué Más Pues?,J Balvin;Maria Becerra,latin,0,0.904,0.817,0.0871,0.0254,0.000141,0.232,0.753,-3.956,101.988
2w2WGSwcfSoZMpA9NKI2lj,The Business - SWACQ Remix,Tiësto;SWACQ,trance,42,0.899,0.542,0.0806,0.202,0.206,0.371,0.423,-7.393,125.039
4oPwiOa5pPq8Raa6phjiEE,Hide - Z6B3R Remix,SIERRA;Z6b3r,club,20,0.59,0.806,0.038,0.0364,0.0794,0.111,0.552,-5.732,100.021
0PlD5j3EX8hZjNfH52YSpF,Passing By,Yiruma,new-age,47,0.173,0.133,0.0337,0.986,0.863,0.0991,0.0905,-14.758,80.17
1icX5CUJRfU8tkQunhkTyV,The Old Legend,DaniSogen,chill,58,0.71,0.251,0.0295,0.763,0.937,0.379,0.412,-16.993,118.017
0jTxQIG0cMaKAu8uLzR4Nq,Little Bar,Justnormal,study,11,0.629,0.387,0.0391,0.463,0.833,0.105,0.119,-7.574,170.057
2biGEMYnKkiqJXkS8Koiaw,Kentucky,Panopticon,black-metal,18,0.456,0.399,0.0311,0.644,0.656,0.231,0.689,-16.311,99.951
2j3XrxnGKhPJVvSGDpoRFJ,Homo Sapiens,Arsames,iranian,10,0.434,0.983,0.131,1.76e-05,0.699,0.0461,0.183,-3.68,159.943
3PnoKVFFTJm6A0hipw05Xc,The Super Mario Maker 2 Song,Poop Emoji,kids,9,0.91,0.53,0.25,0.553,0.0,0.224,0.886,-8.615,92.14
